"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group","id","class","percent_applied_research_current","percent_applied_research_past","percent_fundamental_research_current","percent_fundamental_research_past","percent_use_inspired_research_current","percent_use_inspired_research_past","changed_10yrs","main_reason_change_interest_related","main_reason_change_career_related","main_reason_change_funding_related","main_reason_change_socially_related","main_reason_change_other","Main_reason_change_Other_text","view_change_of_type","partnership_outside_current","partnership_outside_before","partnership_change_10yrs","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_applied","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_6_10_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_for_profit","distribution_funding_11_15_government","distribution_funding_11_15_internal","distribution_funding_11_15_nongov","distribution_funding_11_15_other","distribution_funding_6_10_for_profit","distribution_funding_6_10_government","distribution_funding_6_10_internal","distribution_funding_6_10_nongov","distribution_funding_6_10_other","distribution_funding_11_15_other_text","distribution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","high_priority_comments","next_generation_comments","final_comments","OCED_category"
"Germany","Germany","Germany","Male","Medicine and Life Science","Germany","I did not complete a PhD","Non-academic researcher conducting or managing research in industry or government with <10 years of experience",409,"developed","30","50","20","20","50","30","Yes",NA,NA,1,NA,NA,"","Neutral","Strong partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Neutral","0","0","0","0","0","0","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Quite important","Quite important","Quite important","Quite important","20","50","30","0","0","0","60","40","0","0","","","Decreased","Increased","Increased","Somewhat important",NA,NA,NA,1,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly","","","","High Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","2016","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",410,"developing","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","0","0","30","0","0","0","0","0","Can't comment","Can't comment","Quite important","Can't comment","0","0","100","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Increased","Increased considerably","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably","","","","Higher Middle Income"
"Spain","Spain","Spain","Male","Physical Science (eg. math, physics, chemistry, computer science)","Spain","1995","Senior academic researcher with >10 years of experience applying for research grants",411,"developed","0","0","30","100","70","0","Yes",1,NA,1,NA,NA,"","Very positive","Strong partnership","No partnership","Yes",1,NA,NA,NA,NA,"","Very positive","0","1-3","4-6","0","7-9","0","100","80","","100","","","Very important","Somewhat important","Quite important","Somewhat important","0","40","20","40","0","0","70","30","0","0","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","","","","High Income"
"Brazil","Brazil","Brazil","Female","Natural Science","Brazil","1993","Senior academic researcher with >10 years of experience applying for research grants",412,"developing","30","10","40","70","30","20","Yes",1,NA,NA,1,NA,"","Very positive","Strong partnership","No partnership","Yes",1,NA,1,NA,NA,"","Very positive","1-3","4-6","4-6","4-6","4-6","1-3","70","50","50","80","70","60","Quite important","Quite important","Not very important","Not very important","0","80","0","20","0","0","70","0","30","0","","","Stayed the same","Increased","Increased","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Female","Natural Science","Brazil","1998","Senior academic researcher with >10 years of experience applying for research grants",413,"developing","0","0","80","100","10","0","Yes",1,1,NA,1,NA,"","Very positive","","","No",NA,NA,NA,NA,NA,"","","0","16+","4-6","0","16+","4-6","80","80","","90","90","","Mandatory","Mandatory","Quite important","Somewhat important","0","90","10","0","0","0","90","0","0","0","","","Increased considerably","Increased considerably","Increased considerably","Very important",NA,NA,NA,1,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will stay the same","","","Good lucky with your project!!!!","Higher Middle Income"
"Italy","Italy","Italy","Male","Medicine and Life Science","Italy","1979","Senior academic researcher with >10 years of experience applying for research grants",414,"developed","10","0","90","100","0","0","Yes",1,NA,NA,NA,NA,"","Very positive","Strong partnership","Some partnership","Yes",1,NA,NA,1,NA,"","Very positive","0","16+","0","0","10-12","0","70","","","50","","","Very important","Very important","Somewhat important","Somewhat important","10","30","0","60","0","20","40","10","30","0","","","Decreased","Stayed the same","Increased","Somewhat important",1,NA,NA,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will stay the same","","","","High Income"
"Uruguay","Uruguay","Uruguay","Male","Natural Science","Uruguay","2005","Senior academic researcher with >10 years of experience applying for research grants",415,"developing","6.66666666666667","0","66.6666666666667","66.6666666666667","66.6666666666667","33.3333333333333","Yes",1,NA,NA,1,NA,"","Slightly positive","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","7-9","0","1-3","7-9","0","100","No need for applications for this research type","No need for applications for this research type","100","","20","Somewhat important","Somewhat important","Mandatory","Somewhat important","0","100","0","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Stayed the same","Increased considerably","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will increase slightly","Will decrease considerably","","","","Higher Middle Income"
"Ontario","Canada","Canada","Female","Natural Science","Canada","1992","Senior academic researcher with >10 years of experience applying for research grants",416,"developed","10","10","30","60","60","30","Yes",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","1-3","1-3","0","30","","","50","","100","Very important","Somewhat important","Somewhat important","Not very important","0","70","30","0","0","40","50","10","0","0","","","Decreased considerably","Increased","Increased considerably","Very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will increase slightly","","","","High Income"
"Quebec","Canada","Canada","Female","Physical Science (eg. math, physics, chemistry, computer science)","Canada","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",417,"developed","40",NA,"20",NA,"40",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","1-3","1-3","1-3","0","0","0","100","70","70","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Mandatory","Can't comment","Quite important","Can't comment","10","80","10","0","0",NA,NA,NA,NA,NA,"","","Decreased","Stayed the same","Increased considerably","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will stay the same","Will increase slightly","","","","High Income"
"Ontario","Canada","Canada","Male","Natural Science","Canada","2014","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",418,"developed","15","0","35","50","30","50","Yes",NA,NA,1,NA,NA,"","Slightly positive","Strong partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Slightly positive","1-3","0","0","0","1-3","0","No need for applications for this research type","No need for applications for this research type","50","100","No need for applications for this research type","No need for applications for this research type","Mandatory","Somewhat important","Mandatory","Quite important","50","50","0","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Decreased","Increased considerably","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease slightly","","","","High Income"
"Ontario","Canada","Canada","Male","Physical Science (eg. math, physics, chemistry, computer science)","Canada","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",419,"developed","0",NA,"100",NA,"0",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","1-3","0","0","0","0","70","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Not at all important","Not at all important","0","50","50","0","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,NA,1,"Will increase slightly","Can't comment","Can't comment","Will stay the same","","","","High Income"
"Ontario","Canada","Canada","Male","Natural Science","Canada","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",420,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","80","No need for applications for this research type","No need for applications for this research type","40","No need for applications for this research type","No need for applications for this research type","Quite important","Quite important","Somewhat important","Somewhat important","0","50","50","0","0",NA,NA,NA,NA,NA,"","","Decreased","Increased","Increased","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will decrease slightly","Will decrease slightly","Will increase considerably","","","","High Income"
"Quebec","Canada","Canada","Male","Physical Science (eg. math, physics, chemistry, computer science)","Canada","1993","Senior academic researcher with >10 years of experience applying for research grants",421,"developed","0",NA,"30",NA,"70",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Slightly negative","0","0","1-3","0","0","1-3","No need for applications for this research type","30","","No need for applications for this research type","100","","Mandatory","Mandatory","Not very important","Not very important","0","90","10","0","0","0","90","10","0","0","","","Decreased considerably","Increased","Increased considerably","Not very important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will stay the same","","","","High Income"
"","Canada","","Male","Natural Science","Canada","1976","Senior academic researcher with >10 years of experience applying for research grants",422,"developed","0",NA,"90",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","7-9","0","0","4-6","0","0","","","0","","","Can't comment","Can't comment","Can't comment","Can't comment","0","0","50","0","50","0","0","50","0","50","European Agencies","European Agencies","Decreased considerably","Can't comment","Can't comment","Not very important",NA,NA,1,NA,"Will increase slightly","","Will increase slightly","Will increase slightly","","","","High Income"
