"Status","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","NA","Country"
"Complete","Saskatchewan","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","13-15","","","20%","","","60%","","","Very important","Somewhat important","Somewhat important","Not very important","90%","10%","","","","","10%","90%","","","","","Decreased","Decreased","Increased","Not very important",NA,NA,1,NA,"","Will decrease slightly","Will decrease slightly","Will increase slightly","Will decrease considerably","","Natural Science","1981","Canada","Male","Fundamental research is the all-encompassing aspect of research. It provides the platform upon which to launch use-inspired and applied research. Engaging in fundamental research provides the base to inspire, nurture and train young scientists, who will have the necessary skills to continue in research be it fundamental, use-inspired and/or applied research.","Canada"
"Complete","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","70%","30%","","Yes","100%","","",1,1,1,NA,NA,"","Neutral","Some partnership","Yes","No partnership",1,1,NA,1,NA,"","Slightly positive","16+","6-Apr","0","3-Jan","0","0","10%","0%","No need for applications for this research type","0%","No need for applications for this research type","No need for applications for this research type","Mandatory","Quite important","Somewhat important","Not very important","10%","20%","","70%","","","","100%","","","","","Decreased considerably","Can't comment","Can't comment","Somewhat important",NA,1,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will increase considerably","","Medicine and Life Science","2006","Canada","Male","For the question regarding the success rates, it would have been helpfull to have an option between 0% and 10% as I would have evaluated my success rate at around 5%","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","0%","20%","80%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","Some partnership",1,NA,NA,1,NA,"","Neutral","","6-Apr","6-Apr","","6-Apr","6-Apr","No need for applications for this research type","30%","50%","No need for applications for this research type","30%","60%","Very important","Very important","Quite important","Quite important","0%","70%","30%","0%","0%","","0%","70%","30%","0%","0%","","Can't comment","Stayed the same","Stayed the same","Somewhat important",1,NA,NA,NA,"","Will increase slightly","Will stay the same","Will stay the same","Will stay the same","","Interdisciplinary Science","1975","Canada","Male","","Canada"
"Complete","Quebec","Senior academic researcher with > 10 years of experience applying for research grants","20%","20%","60%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","9-Jul","3-Jan","3-Jan","6-Apr","100%","50%","100%","100%","50%","80%","Very important","Very important","Quite important","Quite important","10%","50%","40%","","","","10%","30%","60%","","","","Stayed the same","Decreased","Increased considerably","Very important",NA,NA,1,NA,"","Will stay the same","Will stay the same","Will increase slightly","Will stay the same","","Engineering","1989","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","0","0","3-Jan","0","0","60%","No need for applications for this research type","No need for applications for this research type","60%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Not at all important","Not very important","Not at all important","10%","90%","0%","0%","0%","","10%","80%","New researcher (no funding in these years)","10%","New researcher (no funding in these years)","","Decreased","Can't comment","Increased","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Will stay the same","Will increase slightly","","Physical Science (eg. math, physics, chemistry, computer science)","1993","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","40%","30%","30%","Yes","50%","30%","20%",1,1,1,1,NA,"","Slightly positive","Strong partnership","Yes","Some partnership",1,NA,1,1,NA,"","Slightly positive","6-Apr","6-Apr","6-Apr","9-Jul","6-Apr","3-Jan","40%","50%","50%","60%","50%","40%","Quite important","Somewhat important","Quite important","Somewhat important","20%","70%","10%","","","","10%","90%","","","","","Decreased considerably","Stayed the same","Increased","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","","Interdisciplinary Science","1991","Canada","","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","90%","10%","","Yes","100%","","",1,NA,1,NA,NA,"","Very positive","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","","3-Jan","3-Jan","","100%","","","100%","100%","","Not at all important","Quite important","Not at all important","Not at all important","","100%","","","","","","100%","","","","","Can't comment","Can't comment","Can't comment","Very important",NA,1,NA,NA,"","Will increase slightly","Will increase slightly","Can't comment","","","Physical Science (eg. math, physics, chemistry, computer science)","1980","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","70%","30%","0%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","12-Oct","0","6-Apr","3-Jan","0","50%","20%","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Mandatory","Somewhat important","Somewhat important","Not at all important","40%","40%","0%","20%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased","Increased considerably","Not very important",NA,NA,1,NA,"","Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease considerably","","Medicine and Life Science","2008","Canada","Male","","Canada"
"Complete","Quebec","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","70%","10%","20%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","90%","10%","80%","90%","10%","40%","Quite important","Somewhat important","Quite important","Quite important","10%","60%","10%","20%","0%","","10%","60%","10%","20%","","","Decreased","Increased","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will stay the same","Will increase slightly","Will increase considerably","Will decrease slightly","","Natural Science","2003","Canada","Female","no","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","80%","20%","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","12-Oct","0","","12-Oct","3-Jan","","10%","","","10%","0%","","Not at all important","Not at all important","Not at all important","Not at all important","10%","90%","","","","","10%","90%","","","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Can't comment","Will decrease slightly","","Medicine and Life Science","1998","Canada","Male","","Canada"
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","60%","20%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","6-Apr","3-Jan","0","0","0","100%","0%","0%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Can't comment","Can't comment","Quite important","Can't comment","40%","20%","0%","0%","40%","Foreign government (United States)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Can't comment","Increased","Somewhat important",NA,NA,1,NA,"","Can't comment","Can't comment","Can't comment","Can't comment","","Physical Science (eg. math, physics, chemistry, computer science)","2014","Canada","Male","","Canada"
"Complete","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","20%","0%","Yes","100%","0%","0%",1,NA,1,NA,NA,"","Very positive","No partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","0","0","3-Jan","0","0","30%","No need for applications for this research type","No need for applications for this research type","50%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Somewhat important","Somewhat important","20%","70%","0%","10%","0%","","50%","50%","New researcher (no funding in these years)","0%","0%","","Decreased considerably","Can't comment","Can't comment","Very important",NA,NA,1,NA,"","Will increase considerably","Will decrease slightly","Will decrease slightly","Will increase slightly","","Medicine and Life Science","2004","Canada","Male","",""
