"Country","Country_work","gender","nation","Location","what_participant_group","field_research","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","id"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","836"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","0","0","4-6","0","0","4-6","837"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","4-6","0","1-3","4-6","0","838"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","1-3","4-6","1-3","0","4-6","839"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","840"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","1-3","0","0","841"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","1-3","1-3","0","1-3","842"
"Ethiopia","Canada","Male","Canada","Ethiopia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","1-3","4-6","0","0","0","843"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","1-3","1-3","1-3","0","844"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","1-3","1-3","1-3","0","845"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","0","0","4-6","1-3","0","1-3","846"
"Italy","Canada","Male","Canada","Italy","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","4-6","0","7-9","4-6","0","847"
"","Canada","Female","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","0","16+","4-6","0","16+","4-6","848"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","4-6","4-6","0","4-6","849"
"Finland","Canada","Male","Canada","Finland","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","7-9","1-3","1-3","4-6","1-3","1-3","850"
"Canada","Canada","Male","Canada","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","4-6","0","1-3","0","0","0","851"
"Serbia","Serbia","Female","Serbia","Serbia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","0","0","1-3","0","0","852"
"Greece","Canada","Female","Canada","Greece","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","10-12","1-3","1-3","13-15","0","1-3","853"
"Switzerland","Canada","Male","Canada","Switzerland","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","4-6","0","0","854"
"Canada","Canada","Male","Canada","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","1-3","0","1-3","0","0","0","855"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","4-6","1-3","1-3","0","0","856"
"France","Canada","Female","Canada","France","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","1-3","0","1-3","1-3","0","857"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","0","7-9","0","0","0","858"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","0","1-3","1-3","0","859"
"France","Canada","Female","Canada","France","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","1-3","0","0","4-6","0","0","860"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","4-6","1-3","0","4-6","0","0","861"
"Canada","Canada","Female","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","0","7-9","0","0","4-6","0","862"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","863"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","0","0","4-6","0","0","864"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","865"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","1-3","0","0","0","0","866"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","4-6","1-3","1-3","0","0","0","867"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","1-3","4-6","1-3","0","1-3","868"
"Brazil","Canada","Male","Canada","Brazil","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","1-3","1-3","1-3","1-3","869"
"Canada","Canada","Male","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","1-3","0","1-3","1-3","1-3","0","870"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","1-3","1-3","1-3","0","871"
"","Canada","Male","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","4-6","13-15","4-6","1-3","0","872"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","4-6","1-3","4-6","0","0","873"
