"Location","Country","Country_work","gender","what_participant_group","field_research","total_research","type","percent"
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"percent_Applied_Research_current",50
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Israel","Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Applied_Research_current",90
"Israel","Israel","","","","",100,"percent_Applied_Research_current",10
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",90
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",50
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",30
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"Germany","Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",0
